NAICS,Lat,Long,Emps
2361,39.706162,-104.83115,1
7211,39.824202,-104.91877,2
2131,39.614031,-104.9611,1
2383,39.72754,-105.14429,1
5412,39.74408,-104.96452,1
7222,39.706268,-104.91967,33
5412,39.729237,-104.98342,7
5613,39.687092,-105.09668,1
5511,39.808761,-104.93498,4
5412,39.602912,-105.00432,1
5412,39.801863,-105.08628,2
2361,39.687014,-105.08268,1
6116,39.680418,-104.90322,2
5242,39.686438,-104.93922,1
6211,39.851423,-104.97948,2
4411,39.681255,-104.87865,3
5173,39.75785,-104.98897,4
5415,39.850536,-105.14946,1
5222,39.604206,-104.89932,55
5313,39.747074,-104.99198,7
5313,39.633529,-104.9007,9
5313,39.803313,-105.11059,2
5511,39.633529,-104.9007,249
5412,39.633529,-104.9007,6
5313,39.653237,-104.89251,8
5313,39.703117,-104.93134,7
5313,39.79358,-105.08592,2
5313,39.738537,-104.97851,10
5313,39.611864,-105.03524,2
5313,39.655914,-104.89871,12
5412,39.739011,-105.09568,2
6213,39.681963,-105.08092,4
5242,39.722137,-104.82427,3
5413,39.742641,-104.98592,1
4842,39.847308,-105.1591,2
4471,39.678263,-104.94169,10
4471,39.674849,-104.86618,11
4471,39.826496,-105.12832,8
4471,39.650662,-105.02492,8
4471,39.6641,-104.8353,6
4471,39.8259,-105.0644,7
4471,39.740378,-104.94042,7
4471,39.637745,-104.89473,8
4471,39.766194,-104.99498,6
4471,39.770912,-104.84718,7
5242,39.685389,-104.93712,3
6233,39.827452,-105.1762,36
5411,39.609737,-104.90318,12
5411,39.743663,-104.91143,1
8141,39.822744,-105.15411,1
5416,39.679149,-105.13251,1
5412,39.724148,-105.14251,2
2362,39.702065,-104.80969,3
8141,39.742271,-104.98758,1
5416,39.703365,-104.95488,2
5617,39.625237,-105.14317,7
5411,39.609737,-104.90318,1
5416,39.70839,-104.89267,1
8141,39.657238,-104.90779,1
8111,39.803849,-105.02502,1
7211,39.628484,-104.90639,62
5415,39.608862,-105.12095,1
5617,39.882763,-105.01842,1
5413,39.746383,-104.99111,12
7211,39.76363,-104.90358,95
6114,39.764596,-104.82095,1
6233,39.619562,-105.10972,2
8141,39.696294,-104.96188,1
4841,39.619762,-105.12969,1
8141,39.612037,-104.84889,1
4251,39.810762,-105.11731,1
7115,39.760441,-104.98442,4
5413,39.674255,-105.02522,1
8121,39.675035,-104.90332,1
9999,39.675035,-104.90332,4
5416,39.745404,-104.99035,6
4251,39.825941,-105.17831,1
7222,39.645346,-104.98745,12
5242,39.614584,-104.88815,2
5613,39.756997,-105.01819,72
4231,39.785063,-104.91159,1
5151,39.662368,-104.85747,6
4481,39.885437,-104.99245,34
4481,39.710963,-104.82293,34
4481,39.708532,-105.08178,41
4481,39.735598,-105.1588,38
4481,39.609562,-104.95982,45
4481,39.618886,-105.09082,37
2361,39.631339,-104.89799,106
5222,39.653673,-104.81652,10
5415,39.621236,-105.06256,1
5121,39.679749,-105.03969,2
5151,39.631262,-104.91144,7
5151,39.631262,-104.91144,317
8121,39.720307,-104.97907,1
4251,39.75785,-104.98897,2
5242,39.604306,-104.86268,1
8141,39.627036,-104.93188,1
5617,39.780149,-104.96962,26
5617,39.755056,-104.98437,5
5611,39.666422,-105.01349,24
7223,39.745503,-105.01898,35
7223,39.747707,-105.00686,50
5617,39.755805,-104.99272,44
5413,39.678572,-105.08188,4
4251,39.617833,-104.91358,1
5614,39.667363,-104.85916,3
8141,39.65758,-104.95122,1
6116,39.766773,-105.03838,2
4481,39.717928,-104.95208,54
5411,39.659499,-104.83753,1
6213,39.696138,-104.98058,1
5413,39.740237,-104.99215,2
5415,39.749454,-104.99568,1
5242,39.756459,-104.95102,2
5416,39.748248,-104.87388,3
5617,39.609398,-104.95982,1
2382,39.64116,-104.89202,2
6244,39.831037,-105.02596,15
6114,39.68328,-104.96238,21
5416,39.612841,-104.89035,2
4243,39.761216,-104.97877,1
5239,39.720863,-104.95238,1
4251,39.630548,-104.82207,1
5242,39.624305,-104.89741,1
2361,39.731565,-104.98638,7
5611,39.6208,-105.0168,1
5619,39.676572,-105.16113,2
5413,39.788216,-105.01682,1
5412,39.863363,-105.00905,1
2361,39.678232,-105.15145,1
2382,39.798163,-104.98131,15
5413,39.747299,-104.99667,105
8141,39.756015,-104.95378,1
2111,39.749769,-104.99558,28
5417,39.74189,-105.07182,27
3279,39.664757,-104.91118,1
6213,39.612806,-105.1007,4
2383,39.780044,-104.81132,1
4842,39.613609,-105.11247,1
5511,39.747363,-104.97928,1
4251,39.744271,-104.99062,7
2361,39.733937,-104.98802,5
6214,39.653237,-104.97921,29
5161,39.725737,-104.98342,3
8113,39.786252,-104.99372,13
5415,39.750515,-104.99945,1
8141,39.746046,-104.92092,1
4251,39.724937,-104.96728,1
4241,39.620621,-104.89276,2
5614,39.657085,-104.87469,1
2389,39.729637,-105.05989,1
4841,39.690097,-104.92421,1
4452,39.786902,-105.10937,4
5411,39.742641,-104.98592,1
5614,39.620162,-104.8973,49
8141,39.629397,-104.96686,2
8134,39.798437,-105.0607,1
5411,39.6557,-105.08158,1
2361,39.893762,-105.03177,1
4251,39.731342,-104.98472,1
7113,39.739863,-104.99927,12
5411,39.7155,-104.94962,1
5415,39.7838,-105.1355,1
5416,39.835772,-104.98718,2
5418,39.752585,-104.99623,7
2111,39.681963,-105.11595,1
5242,39.75064,-105.01854,2
2389,39.709562,-105.00168,31
5223,39.604215,-104.90382,49
5616,39.740337,-104.8126,11
5416,39.757517,-104.89968,1
5416,39.61179,-104.90105,16
8123,39.739172,-105.00038,3
4234,39.60856,-105.14238,1
2361,39.776998,-105.04022,2
4251,39.659536,-104.83683,2
2361,39.611872,-105.12403,1
8123,39.693977,-105.05302,1
5411,39.744612,-104.98889,3
4251,39.731293,-104.97658,1
4412,39.783484,-105.10839,63
5312,39.812463,-105.14084,1
4413,39.861251,-104.97762,10
5415,39.696737,-104.87921,1
4413,39.827063,-104.91413,10
4413,39.786837,-104.86842,10
4231,39.731337,-105.02404,13
2362,39.766463,-105.05098,3
4251,39.741113,-104.98722,1
5416,39.798833,-105.18836,1
6244,39.755048,-105.02778,5
7221,39.69763,-105.0523,1
6242,39.783116,-104.86112,59
5511,39.742474,-105.15801,14
5259,39.802237,-105.09595,5
8141,39.624363,-104.82321,1
5312,39.612806,-105.1007,1
5415,39.622934,-104.89129,2
5312,39.682237,-105.09986,1
5415,39.6111,-104.8842,1
8141,39.732443,-104.89972,1
5416,39.858263,-105.1022,1
6211,39.863199,-104.99678,17
5411,39.769437,-105.08444,1
4249,39.655928,-104.89491,2
